"","Period","Site","Plot","Tag","New_Tag","Sexo","Sexo_t0","Sexo_t1","Height_t0","Height_t1","DAS_t0","DAS_t1","Estg_Rep_t0","Estg_Rep_t1","surv","rep"
"23","2022_2024","N1","Ext. P1","360","360","Feminina","Feminina","Feminina",166,161,10.85,11,"Vegetativo","flor",1,0
"24","2022_2024","N1","Ext. P1","361","361","Masculina","Masculina","Masculina",82,104,7.6,6.5,"Vegetativo","Vegetativo",1,0
"25","2022_2024","N1","Ext. P1","362","362","Masculina","Masculina","Masculina",77,32,8.1,5,"Vegetativo","Vegetativo",1,0
"26","2022_2024","N1","Ext. P1","363","363","Indeterminado","Indeterminado",NA,19,NA,2.1,NA,"Vegetativo",NA,0,0
"27","2022_2024","N1","Ext. P1","364","364","Masculina","Masculina",NA,120,NA,10.9,NA,"Vegetativo",NA,0,0
"28","2022_2024","N1","Ext. P1","365","365","Indeterminado","Indeterminado","Indeterminado",25,29,2.2,2.5,"Vegetativo","Vegetativo",1,0
"29","2022_2024","N1","Ext. P1","366","366","Indeterminado","Indeterminado","Indeterminado",25,5,3.5,2.5,"Vegetativo","Vegetativo",1,0
"30","2022_2024","N1","Ext. P1","367","367","Indeterminado","Indeterminado","Indeterminado",73,82,5.05,4,"Botao","Botao",1,1
"31","2022_2024","N1","Ext. P1","368","368","Masculina","Masculina","Masculina",211,262,13.7,13,"Vegetativo","flor",1,0
"32","2022_2024","N1","Ext. P1","369","369","Feminina","Feminina","Feminina",80,82,5.2,4.5,"Botao","flor",1,1
"33","2022_2024","N1","Ext. P1","371","371","Indeterminado","Indeterminado",NA,56,NA,7.4,NA,"Vegetativo",NA,0,0
"34","2022_2024","N1","Ext. P1","372","372","Indeterminado","Indeterminado","Indeterminado",30,33,4.05,4.5,"Vegetativo","Vegetativo",1,0
"35","2022_2024","N1","Ext. P1","540","540","Indeterminado","Indeterminado",NA,26,NA,13.6,NA,"Vegetativo",NA,0,0
"36","2022_2024","N1","P2","329","329","Indeterminado","Indeterminado","Indeterminado",8,82,8.5,8.5,"Botao","resto flor",1,1
"37","2022_2024","N1","P2","330","330","Indeterminado","Indeterminado","Indeterminado",39,40,3.7,2.5,"Vegetativo","Vegetativo",1,0
"38","2022_2024","N1","P2","331","331","Indeterminado","Indeterminado",NA,80,NA,4.9,NA,"Vegetativo",NA,0,0
"39","2022_2024","N1","P2","332","332","Masculina","Indeterminado","Masculina",88,95,13.1,12.5,"Vegetativo","flor",1,0
"40","2022_2024","N1","P2","333","333","Masculina","Masculina","Masculina",106,116,6.95,6.5,"Botao","Botao",1,1
"41","2022_2024","N1","P2","334","334","Indeterminado","Indeterminado","Indeterminado",34,32,4.4,4,"Botao","Vegetativo",1,1
"42","2022_2024","N1","P2","335","335","Indeterminado","Indeterminado","Indeterminado",165,177,8.15,8,"Botao","Botao",1,1
"43","2022_2024","N1","P2","336","336","Masculina","Indeterminado","Masculina",185,210,13.7,13.5,"Botao","Botao",1,1
"44","2022_2024","N1","P2","337","337","Indeterminado","Indeterminado","Indeterminado",35,36,4.3,4,"Vegetativo","resto flor",1,0
"45","2022_2024","N1","P2","338","338","Masculina","Masculina","Masculina",85,95,9.8,8,"Botao_flor","resto flor",1,1
"46","2022_2024","N1","P2","339","339","Indeterminado","Indeterminado","Indeterminado",54,54,4.4,4,"Botao","Vegetativo",1,1
"47","2022_2024","N1","P2","340","340","Masculina","Indeterminado","Masculina",320,370,50.6,42.5,"Flor","Flor",1,1
"48","2022_2024","N1","P2","341","341","Masculina","Masculina","Masculina",132,121,7.65,7,"Botao","resto flor",1,1
"49","2022_2024","N1","P2","342","342","Indeterminado","Indeterminado","Indeterminado",101,87,13.6,13.5,"Vegetativo","Botao",1,0
"50","2022_2024","N1","P2","343","343","Indeterminado","Indeterminado",NA,8,NA,2.25,NA,"Vegetativo",NA,0,0
"51","2022_2024","N1","P2","344","344","Indeterminado","Indeterminado","Indeterminado",15,19,2.05,2,"Vegetativo","Vegetativo",1,0
"52","2022_2024","N1","P2","345","345","Indeterminado","Indeterminado","Indeterminado",58,61,6.25,5,"Vegetativo","Botao",1,0
"53","2022_2024","N1","P2","346","346","Masculina","Masculina","Masculina",59,53,3.7,3,"Botao_flor","Vegetativo",1,1
"54","2022_2024","N1","P2","347","347","Indeterminado","Indeterminado","Indeterminado",58,53,6.15,4.5,"Vegetativo","Vegetativo",1,0
"55","2022_2024","N1","P2","348","348","Indeterminado","Indeterminado","Indeterminado",139,157,19.2,24,"Botao","Botao",1,1
"56","2022_2024","N1","P2","349","349","Indeterminado","Indeterminado","Indeterminado",32,21,3.2,3,"Vegetativo","Vegetativo",1,0
"57","2022_2024","N1","P2","350","350","Masculina","Masculina","Masculina",65,62,3.8,4,"Botao","resto flor",1,1
"58","2022_2024","N1","P2","351","351","Masculina","Masculina","Masculina",99,110,20.5,15.5,"Vegetativo","flor",1,0
"59","2022_2024","N1","P2","352","352","Masculina","Indeterminado","Masculina",80,83,6.05,6.5,"Botao","flor",1,1
"60","2022_2024","N1","P2","353","353","Masculina","Masculina","Masculina",77,78,6.35,6,"Botao_flor","flor",1,1
"61","2022_2024","N1","P2","354","354","Indeterminado","Indeterminado","Indeterminado",26,25,2.85,2.5,"Vegetativo","Vegetativo",1,0
"62","2022_2024","N1","P2","355","355","Masculina","Indeterminado","Masculina",155,152,10.15,11,"Botao","flor",1,1
"63","2022_2024","N1","P2","559","559","Indeterminado","Indeterminado",NA,19,NA,1,NA,"Vegetativo",NA,0,0
"64","2022_2024","N1","P3","270","270","Indeterminado","Indeterminado","Indeterminado",79,86,7.05,7,"Vegetativo","Vegetativo",1,0
"65","2022_2024","N1","P3","271","271","Indeterminado","Indeterminado","Indeterminado",19,23,2.4,3.5,"Vegetativo","Vegetativo",1,0
"66","2022_2024","N1","P3","272","272","Indeterminado","Indeterminado","Indeterminado",29,32.5,3.8,3.5,"Vegetativo","Vegetativo",1,0
"67","2022_2024","N1","P3","273","273","Indeterminado","Indeterminado","Indeterminado",35,8,4.2,1,"Vegetativo","Vegetativo",1,0
"68","2022_2024","N1","P3","274","274","Indeterminado","Indeterminado","Indeterminado",22,23.5,2.25,2.5,"Vegetativo","Vegetativo",1,0
"69","2022_2024","N1","P3","275","275","Indeterminado","Indeterminado","Indeterminado",19,22,5.1,5,"Vegetativo","Vegetativo",1,0
"70","2022_2024","N1","P3","276","276","Indeterminado","Indeterminado","Indeterminado",31,36,6.35,8,"Vegetativo","Vegetativo",1,0
"71","2022_2024","N1","P3","277","277","Indeterminado","Indeterminado","Indeterminado",26,27,3.5,5,"Vegetativo","Vegetativo",1,0
"72","2022_2024","N1","P3","278","278","Indeterminado","Indeterminado","Indeterminado",22,24,5.9,5,"Vegetativo","Vegetativo",1,0
"73","2022_2024","N1","P3","279","279","Indeterminado","Indeterminado","Indeterminado",35,35,10.35,4,"Vegetativo","Vegetativo",1,0
"74","2022_2024","N1","P3","281","281","Masculina","Indeterminado","Masculina",45,46.5,5.6,6,"Vegetativo","Vegetativo",1,0
"75","2022_2024","N1","P3","283","283","Indeterminado","Indeterminado",NA,12,NA,1,NA,"Vegetativo",NA,0,0
"76","2022_2024","N1","P4","280","280","Indeterminado","Indeterminado","Indeterminado",59,56.5,5.3,4,"Vegetativo","Vegetativo",1,0
"77","2022_2024","N1","P4","282","282","Indeterminado","Indeterminado","Indeterminado",74,80,13.1,8.5,"Vegetativo","Vegetativo",1,0
"78","2022_2024","N1","P4","284","284","Indeterminado","Indeterminado","Indeterminado",34,38,7.95,9.5,"Vegetativo","Vegetativo",1,0
"79","2022_2024","N1","P4","285","285","Indeterminado","Indeterminado","Indeterminado",167,61,10.1,9,"Vegetativo","Vegetativo",1,0
"80","2022_2024","N1","P4","286","286","Indeterminado","Indeterminado","Indeterminado",21,30,2.75,3.5,"Vegetativo","Vegetativo",1,0
"81","2022_2024","N1","P4","287","287","Indeterminado","Indeterminado","Indeterminado",101,112,11.85,11.5,"Vegetativo","Vegetativo",1,0
"82","2022_2024","N1","P4","288","288","Indeterminado","Indeterminado","Indeterminado",92,95,9.4,9,"Vegetativo","Vegetativo",1,0
"83","2022_2024","N1","P4","289","289","Indeterminado","Indeterminado","Indeterminado",39,42.5,4.15,3.5,"Vegetativo","Vegetativo",1,0
"84","2022_2024","N1","P4","290","290","Indeterminado","Indeterminado","Indeterminado",64,70,62.4,10.5,"Vegetativo","Vegetativo",1,0
"85","2022_2024","N1","P4","291","291","Indeterminado","Indeterminado","Indeterminado",19,21,2.5,3.5,"Vegetativo","Vegetativo",1,0
"86","2022_2024","N1","P4","292","292","Indeterminado","Indeterminado","Indeterminado",73,74,6.6,6.5,"Vegetativo","Vegetativo",1,0
"87","2022_2024","N1","P4","293","293","Indeterminado","Indeterminado","Indeterminado",37,43,7.3,6.5,"Vegetativo","Vegetativo",1,0
"88","2022_2024","N1","P4","294","294","Indeterminado","Indeterminado","Indeterminado",34,45,4,4.5,"Vegetativo","Vegetativo",1,0
"89","2022_2024","N1","P4","295","295","Indeterminado","Indeterminado","Indeterminado",19,20,2.25,2,"Vegetativo","Vegetativo",1,0
"90","2022_2024","N1","P4","296","296","Masculina","Indeterminado","Masculina",83,85,6.9,4.5,"Vegetativo","Vegetativo",1,0
"91","2022_2024","N1","P4","297","297","Indeterminado","Indeterminado","Indeterminado",33,37,4.7,3.5,"Vegetativo","Vegetativo",1,0
"92","2022_2024","N1","P4","298","298","Masculina","Indeterminado","Masculina",91,87,12.85,13.5,"Vegetativo","Vegetativo",1,0
"93","2022_2024","N1","P4","299","299","Indeterminado","Indeterminado","Indeterminado",13,139,5.35,11,"Vegetativo","Vegetativo",1,0
"94","2022_2024","N1","P4","300","300","Indeterminado","Indeterminado","Indeterminado",106,114,12.15,12.5,"Vegetativo","Vegetativo",1,0
"95","2022_2024","N1","P4","305","305","Indeterminado","Indeterminado","Indeterminado",107,117.5,5.45,5,"Vegetativo","Vegetativo",1,0
"96","2022_2024","N1","P5","306","306","Masculina","Masculina","Masculina",277,252,13.6,14.5,"Botao_flor","resto flor",1,1
