"","Plot","Quad","Q_Yellow","TAG","1stYear","Status0","X_10","Y_10","alt0","dia_x0","dia_y0","alt","dia_x","dia_y","Status","ObsNEXT","Obs0","size","size_next","repro","survival","id"
"78","2","B","A3","no tag",2023,"Reprodutivo",8,3.5,10.8,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,78
"79","2","B","A3","no tag",2023,"Reprodutivo",8,4.5,5.8,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,79
"80","2","B","A3","no tag",2023,"Jovem",4,7,8.8,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,80
"81","2","B","A3","no tag",2023,"Reprodutivo",1,8,9.8,6.9,6,NA,NA,NA,"Morreu",NA,NA,6.45,NA,1,0,81
"82","2","B","A3","no tag",2023,"Reprodutivo",1,8,9.8,6.9,6,NA,NA,NA,"Morreu",NA,NA,6.45,NA,1,0,82
"83","2","B","A3","no tag",2023,"Reprodutivo",2.5,9.5,17.3,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,83
"84","2","B","A3","no tag",2023,"Jovem",3,9.5,5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,84
"85","2","B","A3","no tag",2023,"Reprodutivo",3.5,9.5,15.8,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,85
"86","2","B","A3","no tag",2023,"Jovem",4,9.5,12.2,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,86
"87","2","B","A3","no tag",2023,"Reprodutivo",6,5,23.7,6.8,6.6,NA,NA,NA,"Morreu",NA,NA,6.7,NA,1,0,87
"88","2","B","A3","no tag",2023,"Reprodutivo",6,5,23.7,6.6,6.6,NA,NA,NA,"Morreu",NA,NA,6.6,NA,1,0,88
"89","2","B","A4","no tag",2023,"Jovem",5,3.5,12.3,8.2,7.5,12.3,8.2,7.5,"Jovem","Status não registrado. Jovem?",NA,7.85,7.85,0,1,89
"90","2","B","A4","no tag",2023,"Jovem",8,1,6.5,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,0,0,90
"91","2","B","B1","no tag",2023,"Reprodutivo",5.5,4.5,9,5.5,5,NA,NA,NA,"Morreu",NA,NA,5.25,NA,1,0,91
"92","2","B","B1","no tag",2023,"Reprodutivo",6,7,18.5,6,6,NA,NA,NA,"Morreu",NA,NA,6,NA,1,0,92
"93","2","B","B1","no tag",2023,"Reprodutivo",7,7,7.3,5,5,NA,NA,NA,"Morreu",NA,NA,5,NA,1,0,93
"94","2","B","B1","no tag",2023,"Jovem",9,7,7.8,5.8,5.9,7.8,5.8,5.9,"Jovem",NA,NA,5.85,5.85,0,1,94
"95","2","B","B1","no tag",2023,"Reprodutivo",9,8,17.4,5.5,5.5,16,5,5,"Reprodutivo",NA,NA,5.5,5,1,1,95
"96","2","B","B1","no tag",2023,"Reprodutivo",7.5,9,15.4,5,5,5,5,5,"Jovem",NA,NA,5,5,1,1,96
