plot;stage;stage2;diam;fate;fate2;X_10;Y_10
3;2;immature;29.4;3;Reprodutivo;9;1
3;2;immature;42.9;0;dead;2;6
3;2;immature;77.8;0;dead;5;5
4;2;immature;44.7;0;dead;10;1.5
4;2;immature;5;0;dead;7;9.5
4;2;immature;5;0;dead;7;9.5
4;2;immature;8.2;0;dead;1.5;8
4;2;immature;15.5;0;dead;8;2
4;2;immature;18.9;0;dead;5.5;7.5
4;2;immature;21.9;0;dead;2;4
4;2;immature;5.2;0;dead;5.5;6
4;2;immature;8.1;2;immature;9.5;1.5
4;2;immature;5;2;immature;8;1
4;2;immature;5;0;dead;3;3
4;2;immature;5;0;dead;6;8.5
4;2;immature;5;0;dead;9;9.5
4;2;immature;5;0;dead;9;9.5
4;2;immature;5;0;dead;9;9.5
4;2;immature;5;0;dead;3;0.5
4;2;immature;5;0;dead;3;0.5
4;2;immature;5;0;dead;3;0.5
4;2;immature;5;0;dead;3;0.5
4;2;immature;5;0;dead;3;0.5
4;2;immature;5;0;dead;4.5;2
4;2;immature;5;0;dead;4.5;2
4;2;immature;5;0;dead;3;7
5;2;immature;21.5;0;dead;4;9.5
5;2;immature;5;0;dead;4;1
5;2;immature;5;0;dead;5.5;1
5;2;immature;5;0;dead;7.5;5
5;2;immature;5;0;dead;0.5;8
5;2;immature;5;0;dead;4.5;6.5
5;2;immature;5;0;dead;4.5;6.5
5;2;immature;5;0;dead;3;8
5;2;immature;5;0;dead;3;3
5;2;immature;5;0;dead;0.5;5
5;2;immature;64.7;0;dead;7;10
5;2;immature;5.5;0;dead;6.5;4.5
5;2;immature;5;0;dead;6.5;3.5
5;2;immature;5;0;dead;7;10
5;2;immature;5.5;0;dead;8;1
5;2;immature;5;0;dead;7;1.5
5;2;immature;5;0;dead;3;3
5;2;immature;5;0;dead;4;9.5
5;2;immature;5;0;dead;7.5;8
5;2;immature;5;0;dead;3;5
5;2;immature;5;0;dead;2;9
5;2;immature;5.8;0;dead;1.4;4.5
5;2;immature;5;0;dead;3;6
5;2;immature;5;0;dead;1.5;3
5;2;immature;5;0;dead;5.5;6.5
5;2;immature;5.5;0;dead;5.5;6.5
5;2;immature;89.3;3;Reprodutivo;5;5.5
5;2;immature;5;0;dead;1;7.5
6;2;immature;11.3;3;Reprodutivo;9.5;0.5
6;2;immature;5;3;Reprodutivo;1;3
6;2;immature;5;0;dead;3;9.8
6;2;immature;5;0;dead;3;9.8
6;2;immature;5;0;dead;5.5;8
6;2;immature;5;0;dead;10;4
6;2;immature;21.4;0;dead;1;8
6;2;immature;5;0;dead;1;6.5
6;2;immature;5;3;Reprodutivo;9;2
6;2;immature;8.28;0;dead;5.5;4
6;2;immature;5;0;dead;7.5;7
6;2;immature;5;0;dead;9.5;7.5
6;2;immature;6.5;3;Reprodutivo;5;4
6;2;immature;37.5;0;dead;4.5;7.5
6;2;immature;13.6;0;dead;6.5;6
6;2;immature;19.4;3;Reprodutivo;9.5;5
6;2;immature;7.7;0;dead;1;4.5
6;2;immature;5;0;dead;5;3.5
6;2;immature;5;0;dead;3;3.5
6;2;immature;5;0;dead;8;6.5
6;2;immature;5;0;dead;8;6.5
6;2;immature;5;0;dead;9.5;8.5
6;2;immature;5;0;dead;9.5;8.5
6;2;immature;5;0;dead;9.5;8.5
6;2;immature;11;0;dead;9.5;8.5
6;2;immature;5;0;dead;7;0
6;2;immature;5;0;dead;7;2
6;2;immature;5;0;dead;8.5;2
6;2;immature;6.8;0;dead;9;9.5
7;2;immature;5;2;immature;9;7
7;2;immature;11.4;0;dead;8;7.5
7;2;immature;5;2;immature;2.5;8
7;2;immature;5.7;0;dead;8.5;1.5
7;2;immature;5;0;dead;8;9
7;2;immature;0;0;dead;4;10
7;2;immature;5;0;dead;6;7.5
7;2;immature;5;0;dead;10;9
7;2;immature;5;0;dead;2.5;1.5
7;2;immature;5;0;dead;0.5;5.5
7;2;immature;6.3;0;dead;8;7.5
7;2;immature;5;0;dead;4;2
7;2;immature;5;0;dead;1.5;6.5
7;2;immature;11.7;0;dead;6;9
7;2;immature;5;0;dead;4;2
7;2;immature;5;0;dead;2.5;6
7;2;immature;5;0;dead;7.5;6.5
8;2;immature;5;0;dead;10;1
8;2;immature;5;0;dead;9.5;6
