Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;Status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;alt24;dia_x24;dia_y24;Status24
2;C;0;50;E3;40;20;no tag;2024;new;5;10;45;30;45;80;;;;5;5;5;Jovem
2;C;0;50;E3;40;20;no tag;2024;new;10;8;50;28;50;78;;;;15;5;5;Jovem
2;C;0;50;E4;40;30;no tag;2024;new;7;3.5;47;33.5;47;83.5;;;;5;5;5;Jovem
2;C;0;50;E5;40;40;no tag;2024;new;1;2.5;41;42.5;41;92.5;;;;5;5;5;Jovem
2;D;50;50;A2;30;0;no tag;2024;new;0.5;5;30.5;5;80.5;55;;;;5;5;5;Jovem
2;D;50;50;A2;30;0;no tag;2024;new;4.5;1;34.5;1;84.5;51;;;;5;5;5;Jovem
2;D;50;50;A2;30;0;no tag;2024;new;3.5;4.5;33.5;4.5;83.5;54.5;;;;5;5;5;Jovem
2;D;50;50;A2;30;0;no tag;2024;new;3.5;4.5;33.5;4.5;83.5;54.5;;;;5;5;5;Jovem
2;D;50;50;A2;30;0;no tag;2024;new;3;1;33;1;83;51;;;;5;5;5;Jovem
2;D;50;50;A3;20;0;no tag;2024;new;1;9.5;21;9.5;71;59.5;;;;5;5;5;Jovem
2;D;50;50;A4;10;0;no tag;2024;new;0.5;5.5;10.5;5.5;60.5;55.5;;;;5;5;5;Jovem
2;D;50;50;A4;10;0;no tag;2024;new;1;6.5;11;6.5;61;56.5;;;;5;5;5;Jovem
2;D;50;50;A5;0;0;no tag;2024;new;4.5;4;4.5;4;54.5;54;;;;17;5;5;Jovem
2;D;50;50;A5;0;0;2980;2024;new;4.5;8;4.5;8;54.5;58;;;;20;21;23;Reprodutivo
2;D;50;50;B2;30;10;no tag;2024;new;4;4.5;34;14.5;84;64.5;;;;14;5;5;Jovem
2;D;50;50;B2;30;10;no tag;2024;new;6.5;9;36.5;19;86.5;69;;;;5;5;5;Jovem
2;D;50;50;B2;30;10;no tag;2024;new;6.5;9;36.5;19;86.5;69;;;;5;5;5;Jovem
2;D;50;50;B3;20;10;no tag;2024;new;1;3;21;13;71;63;;;;5;5;5;Jovem
2;D;50;50;B4;10;10;no tag;2024;new;5.5;4.5;15.5;14.5;65.5;64.5;;;;5;5;5;Jovem
2;D;50;50;B5;0;10;no tag;2024;new;7;1;7;11;57;61;;;;5;5;5;Jovem
