Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;diam;
2;D;50;50;E4;10;40;no tag;2022;immaturo_23 ;2;8;12;48;62;98;8.4;5;5;78.5;
2;D;50;50;E4;10;40;no tag;2022;immaturo_23 ;2;8;12;48;62;98;8.4;5;5;78.5;
3;A;0;0;D1;10;40;no tag;2022;immaturo_23 ;1.5;6;11.5;46;11.5;46;25.4;20.7;16.8;1091.9664;
3;B;50;0;A5;40;40;2055;2022;immaturo_23 ;6;9;46;49;96;49;18.9;22.1;15.7;1089.4858;
3;B;50;0;E4;30;0;2049;2022;reprodutivo_23;7;1.5;37;1.5;87;1.5;34.2;98.1;85.9;26460.1206;
3;D;50;50;B1;40;10;2056;2022;immaturo_23 ;9;1;49;11;99;61;25.3;29.4;42.6;3932.6616;
3;D;50;50;B3;20;10;no tag;2022;reprodutivo_23;2;5;22;15;72;65;9.8;5;5;78.5;
3;D;50;50;D3;20;30;2057;2022;reprodutivo_23;4.5;2;24.5;32;74.5;82;34.6;28.4;37.4;3335.1824;
3;D;50;50;D4;10;30;no tag;2022;reprodutivo_23;7.5;5;17.5;35;67.5;85;12.7;5;5;78.5;
3;D;50;50;D4;10;30;no tag;2022;reprodutivo_23;8;5;18;35;68;85;22.1;6.6;5.5;113.982;
3;D;50;50;D4;10;30;no tag;2022;reprodutivo_23;8.5;5.5;18.5;35.5;68.5;85.5;13.4;5;5;78.5;
3;D;50;50;D4;10;30;no tag;2022;reprodutivo_23;10;8;20;38;70;88;20.2;6.2;5.7;110.9676;
3;D;50;50;E4;10;40;2059;2022;reprodutivo_23;2;6;12;46;62;96;40.5;42.9;37.1;4997.5926;
3;D;50;50;E5;0;40;2060;2022;reprodutivo_23;5;5;5;45;55;95;32.8;77.8;115.7;28264.5844;
3;A;0;0;A1;40;40;no tag;2023;immaturo_23 ;5;5;45;45;45;45;9.1;5.2;5;81.64;
3;A;0;0;B4;30;10;no tag;2023;immaturo_23 ;9;9.5;39;19.5;39;19.5;6.4;6.8;9.2;196.4384;
3;B;50;0;A5;40;40;no tag;2023;immaturo_23 ;3;5;43;45;93;45;6;5;5;78.5;
3;B;50;0;B1;0;30;no tag;2023;immaturo_23 ;2;5.5;2;35.5;52;35.5;5;5;5;78.5;
3;B;50;0;D5;40;10;no tag;2023;reprodutivo_23;1;5;41;15;91;15;21;11.5;17.7;639.147;
3;B;50;0;E3;20;0;no tag;2023;immaturo_23 ;1.5;3.5;21.5;3.5;71.5;3.5;13.4;7.6;6.8;162.2752;
3;B;50;0;E3;20;0;no tag;2023;immaturo_23 ;2;4;22;4;72;4;10.3;8.7;6.9;188.4942;
3;C;0;50;E1;40;0;no tag;2023;immaturo_23 ;7;8;47;8;47;58;5;5;5;78.5;
