Plot;Quad;X_quad;Y_quad;Q_Yellow;X_yellow;Y_yellow;TAG ;Col_data;status;X_10;Y_10;X_q;Y_q;X;Y;alt;dia_x;dia_y;diam;
2;B;50;0;A3;20;40;no tag;2022;reprodutivo_23;1;8;21;48;71;48;9.8;6.9;6;129.996;
2;B;50;0;A3;20;40;no tag;2022;reprodutivo_23;2.5;9.5;22.5;49.5;72.5;49.5;17.3;5;5;78.5;
2;B;50;0;A3;20;40;no tag;2022;immaturo_23 ;3;9.5;23;49.5;73;49.5;5;5;5;78.5;
2;B;50;0;A3;20;40;no tag;2022;reprodutivo_23;3.5;9.5;23.5;49.5;73.5;49.5;15.8;5;5;78.5;
2;B;50;0;A3;20;40;no tag;2022;immaturo_23 ;4;9.5;24;49.5;74;49.5;12.2;5;5;78.5;
2;B;50;0;A3;20;40;no tag;2022;reprodutivo_23;6;5;26;45;76;45;23.7;6.8;6.6;140.9232;
2;B;50;0;A3;20;40;no tag;2022;reprodutivo_23;6;5;26;45;76;45;23.7;6.6;6.6;136.7784;
2;B;50;0;A4;30;40;no tag;2022;immaturo_23 ;8;1;38;41;88;41;6.5;5;5;78.5;
2;B;50;0;B2;10;30;no tag;2022;reprodutivo_23;6.5;5.5;16.5;35.5;66.5;35.5;21.2;25.11;29.4;2318.05476;
2;B;50;0;C4;30;20;no tag;2022;reprodutivo_23;2;3;32;23;82;23;7.5;5.2;5.3;86.5384;
2;B;50;0;C4;30;20;no tag;2022;reprodutivo_23;8;4;38;24;88;24;6.3;5;5;78.5;
2;B;50;0;D2;10;10;no tag;2022;immaturo_23 ;1;5;11;15;61;15;11.1;5.5;5.5;94.985;
2;B;50;0;D2;10;10;no tag;2022;immaturo_23 ;2;5;12;15;62;15;13.6;5;5;78.5;
2;B;50;0;D2;10;10;no tag;2022;immaturo_23 ;2;5;12;15;62;15;13.6;5;5;78.5;
2;B;50;0;D2;10;10;no tag;2022;reprodutivo_23;8;2;18;12;68;12;1.5;7;5.5;120.89;
2;B;50;0;D2;10;10;no tag;2022;reprodutivo_23;8;2;18;12;68;12;15.7;5;5;78.5;
2;B;50;0;D2;10;10;no tag;2022;reprodutivo_23;1;8.5;11;18.5;61;18.5;8;7.8;7.4;181.2408;
2;B;50;0;E1;0;0;no tag;2022;reprodutivo_23;1.5;8;1.5;8;51.5;8;9.5;7.2;6.2;140.1696;
2;B;50;0;D3;20;10;no tag;2022;reprodutivo_23;5;7;25;17;75;17;18.1;17.9;16.7;938.6402;
2;C;0;50;C1;20;0;no tag;2022;immaturo_23 ;4;0.5;24;0.5;24;50.5;15.5;9.2;9.7;280.2136;
2;C;0;50;C2;20;10;2039;2022;reprodutivo_23;6.5;3;26.5;13;26.5;63;22.3;23.8;20.3;1517.0596;
2;C;0;50;C2;20;10;2037;2022;reprodutivo_23;5;7;25;17;25;67;30.2;41.4;38.4;4991.8464;
2;C;0;50;C2;20;10;no tag;2022;immaturo_23 ;2;9;22;19;22;69;11.2;5.2;5;81.64;
2;C;0;50;C3;20;20;2038;2022;reprodutivo_23;7;10;27;30;27;80;38.8;39.6;34.1;4240.1304;
2;C;0;50;C3;20;20;no tag;2022;immaturo_23 ;1.5;8.5;21.5;28.5;21.5;78.5;12.4;5;5;78.5;
2;C;0;50;C3;20;20;no tag;2022;immaturo_23 ;4;8.5;24;28.5;24;78.5;11.8;5;5;78.5;
2;C;0;50;C3;20;20;no tag;2022;immaturo_23 ;4.5;8.5;24.5;28.5;24.5;78.5;21.4;5;5;78.5;
2;C;0;50;C3;20;20;no tag;2022;immaturo_23 ;4.5;8.5;24.5;28.5;24.5;78.5;11.8;5;5;78.5;
2;C;0;50;C3;20;20;no tag;2022;immaturo_23 ;5;8.5;25;28.5;25;78.5;11.8;5;5;78.5;
2;C;0;50;D4;30;30;no tag;2022;reprodutivo_23;2.5;3.5;32.5;33.5;32.5;83.5;7.8;5;5;78.5;
2;C;0;50;D4;30;30;no tag;2022;reprodutivo_23;4;3;34;33;34;83;12;5;5;78.5;
2;C;0;50;D4;30;30;no tag;2022;immaturo_23 ;6;4;36;34;36;84;5;5;5;78.5;
2;C;0;50;D4;30;30;no tag;2022;immaturo_23 ;8;4;38;34;38;84;5;5;5;78.5;
