id,size,size_next,survival,repro
362,18,18.16,1,1
363,18,18.16,1,1
364,18,18.12,1,1
365,18,18.04,1,1
366,18,18,1,1
367,18,17.96,1,1
368,18,17.96,1,1
369,18,17.92,1,0
370,18,17.88,1,1
371,18,17.88,1,0
372,19,NA,1,1
373,19,NA,1,1
374,19,19.16,1,0
375,19,19.14,1,1
376,19,19.14,1,1
377,19,19.13,1,1
378,19,19.11,1,1
379,19,19.08,1,1
380,19,19.05,1,1
381,19,19.03,1,1
382,19,19.03,1,1
383,19,18.88,1,1
384,19,NA,0,1
385,19,NA,0,1
386,20,NA,1,1
387,20,NA,1,1
388,20,NA,1,1
389,20,NA,1,1
390,20,20.2,1,1
391,20,20.16,1,1
392,20,20.16,1,1
393,20,20.12,1,1
394,20,20.12,1,1
395,20,20.1,1,1
396,20,20.1,1,1
397,20,20.08,1,1
398,20,20.06,1,0
399,20,20.06,1,1
400,20,20.06,1,1
401,20,20.06,1,1
402,20,20.06,1,1
403,20,20.04,1,1
404,20,20.04,1,1
405,20,20.04,1,1
406,20,20.04,1,1
407,20,20.02,1,1
408,20,20,1,1
409,20,19.96,1,1
410,20,19.92,1,1
411,20,NA,0,1
412,21,NA,1,1
413,21,NA,1,1
414,21,21.13,1,1
415,21,21.11,1,1
416,21,21.09,1,1
417,21,21.07,1,1
418,21,21.07,1,1
419,21,21.06,1,1
420,21,21.05,1,1
421,21,21.04,1,1
422,21,21.03,1,1
423,21,21.01,1,1
424,21,21.01,1,0
425,21,21,1,1
426,21,20.91,1,1
427,22,NA,1,1
428,22,NA,1,1
429,22,NA,1,1
430,22,NA,1,1
431,22,NA,1,1
432,22,NA,1,1
433,22,22.11,1,1
434,22,22.11,1,1
435,22,22.11,1,1
436,22,22.1,1,1
437,22,22.08,1,1
438,22,22.07,1,1
439,22,22.06,1,1
440,22,22.06,1,1
441,22,22.05,1,1
442,22,22.04,1,1
443,22,22.03,1,1
444,22,22.01,1,1
445,22,22.01,1,1
446,22,22,1,1
447,22,22,1,1
448,22,21.99,1,1
449,22,21.99,1,1
450,22,21.92,1,1
451,22,NA,0,1
452,22,NA,0,1
453,23,NA,1,1
454,23,NA,1,1
455,23,NA,1,1
456,23,NA,1,1
457,23,NA,1,0
458,23,NA,1,1
459,23,23.11,1,1
460,23,23.11,1,1
461,23,23.08,1,1
462,23,23.08,1,1
463,23,23.07,1,1
464,23,23.06,1,1
465,23,23.05,1,1
466,23,23.04,1,1
467,23,23.03,1,1
468,23,23,1,1
469,23,23,1,1
470,23,23,1,1
471,23,22.97,1,1
472,23,22.96,1,1
473,23,22.92,1,0
474,24,24.1,1,1
475,24,24.04,1,1
476,24,24.04,1,1
477,25,NA,1,1
478,25,NA,1,1
479,25,NA,1,1
480,25,25.14,1,1
481,25,25.08,1,1
482,25,25.07,1,1
483,25,25.07,1,1
484,25,25.07,1,1
485,25,25.07,1,1
486,25,25.06,1,1
487,26,NA,1,1
488,26,NA,1,1
489,26,NA,1,1
490,26,26.1,1,1
491,26,26.05,1,1
492,26,26.01,1,1
493,27,NA,1,1
494,NA,0.57,,0
495,NA,0.55,,0
496,NA,0.54,,0
497,NA,0.51,,0
498,NA,0.5,,0
